Changed database context to 'Practica1'.
CountryName                                                                                                                                            Year        Month       TripCount  
 Korea Democratic People's Republic of                                                                                                                        2022           4           1
 Korea Democratic People's Republic of                                                                                                                        2022           5           9
 Korea Democratic People's Republic of                                                                                                                        2022           6          10
 Korea Democratic People's Republic of                                                                                                                        2022           7           2
 Korea Democratic People's Republic of                                                                                                                        2022           8           3
 Korea Democratic People's Republic of                                                                                                                        2022           9          10
 Korea Democratic People's Republic of                                                                                                                        2022          10           6
 Korea Democratic People's Republic of                                                                                                                        2022          11           1
 Korea Democratic People's Republic of                                                                                                                        2022          12           2
 Korea Republic of                                                                                                                                            2022           1          27
 Korea Republic of                                                                                                                                            2022           2          32
 Korea Republic of                                                                                                                                            2022           3          27
 Korea Republic of                                                                                                                                            2022           4          15
 Korea Republic of                                                                                                                                            2022           5          17
 Korea Republic of                                                                                                                                            2022           6          26
 Korea Republic of                                                                                                                                            2022           7          37
 Korea Republic of                                                                                                                                            2022           8          33
 Korea Republic of                                                                                                                                            2022           9          32
 Korea Republic of                                                                                                                                            2022          10          29
 Korea Republic of                                                                                                                                            2022          11          36
 Korea Republic of                                                                                                                                            2022          12          21
 Micronesia Federated States of                                                                                                                               2022           1           5
 Micronesia Federated States of                                                                                                                               2022           2           1
 Micronesia Federated States of                                                                                                                               2022           3           1
 Micronesia Federated States of                                                                                                                               2022           4           3
 Micronesia Federated States of                                                                                                                               2022           5           7
 Micronesia Federated States of                                                                                                                               2022           6           6
 Micronesia Federated States of                                                                                                                               2022           7           3
 Micronesia Federated States of                                                                                                                               2022           8           6
 Micronesia Federated States of                                                                                                                               2022           9           2
 Micronesia Federated States of                                                                                                                               2022          10           8
 Micronesia Federated States of                                                                                                                               2022          11          12
 Micronesia Federated States of                                                                                                                               2022          12          10
 Moldova Republic of                                                                                                                                          2022           1           2
 Moldova Republic of                                                                                                                                          2022           2           1
 Moldova Republic of                                                                                                                                          2022           3           4
 Moldova Republic of                                                                                                                                          2022           4           3
 Moldova Republic of                                                                                                                                          2022           5           1
 Moldova Republic of                                                                                                                                          2022           6           1
 Moldova Republic of                                                                                                                                          2022           7           2
 Moldova Republic of                                                                                                                                          2022           8           3
 Moldova Republic of                                                                                                                                          2022           9           4
 Moldova Republic of                                                                                                                                          2022          10           1
 Moldova Republic of                                                                                                                                          2022          11           1
 Moldova Republic of                                                                                                                                          2022          12           1
 Palestine State of                                                                                                                                           2022           1           1
 Palestine State of                                                                                                                                           2022           3           4
 Palestine State of                                                                                                                                           2022           4           6
 Palestine State of                                                                                                                                           2022           5           3
 Palestine State of                                                                                                                                           2022           6           3
 Palestine State of                                                                                                                                           2022           7           3
 Palestine State of                                                                                                                                           2022           8           3
 Palestine State of                                                                                                                                           2022           9           3
 Palestine State of                                                                                                                                           2022          10           2
 Palestine State of                                                                                                                                           2022          11           1
 Palestine State of                                                                                                                                           2022          12           2
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           1           2
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           2           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           3           2
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           4           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           5           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           6           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           7           4
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           8           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022           9           3
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022          10           1
 Saint Helena Ascension and Tristan da Cunha                                                                                                                  2022          12           3
 Taiwan Province of China                                                                                                                                     2022           1          23
 Taiwan Province of China                                                                                                                                     2022           2          18
 Taiwan Province of China                                                                                                                                     2022           3          15
 Taiwan Province of China                                                                                                                                     2022           4          20
 Taiwan Province of China                                                                                                                                     2022           5          21
 Taiwan Province of China                                                                                                                                     2022           6          14
 Taiwan Province of China                                                                                                                                     2022           7          19
 Taiwan Province of China                                                                                                                                     2022           8          15
 Taiwan Province of China                                                                                                                                     2022           9          14
 Taiwan Province of China                                                                                                                                     2022          10          24
 Taiwan Province of China                                                                                                                                     2022          11          23
 Taiwan Province of China                                                                                                                                     2022          12          15
 Tanzania United Republic of                                                                                                                                  2022           1          26
 Tanzania United Republic of                                                                                                                                  2022           2          27
 Tanzania United Republic of                                                                                                                                  2022           3          35
 Tanzania United Republic of                                                                                                                                  2022           4          25
 Tanzania United Republic of                                                                                                                                  2022           5          35
 Tanzania United Republic of                                                                                                                                  2022           6          20
 Tanzania United Republic of                                                                                                                                  2022           7          36
 Tanzania United Republic of                                                                                                                                  2022           8          31
 Tanzania United Republic of                                                                                                                                  2022           9          29
 Tanzania United Republic of                                                                                                                                  2022          10          26
 Tanzania United Republic of                                                                                                                                  2022          11          22
 Tanzania United Republic of                                                                                                                                  2022          12          33
 Venezuela Bolivarian Republic of                                                                                                                             2022           1          56
 Venezuela Bolivarian Republic of                                                                                                                             2022           2          52
 Venezuela Bolivarian Republic of                                                                                                                             2022           3          67
 Venezuela Bolivarian Republic of                                                                                                                             2022           4          58
 Venezuela Bolivarian Republic of                                                                                                                             2022           5          73
 Venezuela Bolivarian Republic of                                                                                                                             2022           6          57
 Venezuela Bolivarian Republic of                                                                                                                             2022           7          66
 Venezuela Bolivarian Republic of                                                                                                                             2022           8          61
 Venezuela Bolivarian Republic of                                                                                                                             2022           9          65
 Venezuela Bolivarian Republic of                                                                                                                             2022          10          58
 Venezuela Bolivarian Republic of                                                                                                                             2022          11          60
 Venezuela Bolivarian Republic of                                                                                                                             2022          12          57
 Virgin Islands British                                                                                                                                       2022           1           5
 Virgin Islands British                                                                                                                                       2022           2           3
 Virgin Islands British                                                                                                                                       2022           3           4
 Virgin Islands British                                                                                                                                       2022           4           3
 Virgin Islands British                                                                                                                                       2022           5           1
 Virgin Islands British                                                                                                                                       2022           6           3
 Virgin Islands British                                                                                                                                       2022           7           4
 Virgin Islands British                                                                                                                                       2022           8           1
 Virgin Islands British                                                                                                                                       2022           9           3
 Virgin Islands British                                                                                                                                       2022          11           1
 Virgin Islands British                                                                                                                                       2022          12           3
 Virgin Islands U.S.                                                                                                                                          2022           1           6
 Virgin Islands U.S.                                                                                                                                          2022           2           6
 Virgin Islands U.S.                                                                                                                                          2022           3           2
 Virgin Islands U.S.                                                                                                                                          2022           4           5
 Virgin Islands U.S.                                                                                                                                          2022           5           5
 Virgin Islands U.S.                                                                                                                                          2022           6           4
 Virgin Islands U.S.                                                                                                                                          2022           7           3
 Virgin Islands U.S.                                                                                                                                          2022           8           6
 Virgin Islands U.S.                                                                                                                                          2022           9           2
 Virgin Islands U.S.                                                                                                                                          2022          10           4
 Virgin Islands U.S.                                                                                                                                          2022          11           7
 Virgin Islands U.S.                                                                                                                                          2022          12           2
Afghanistan                                                                                                                                                   2022           1          38
Afghanistan                                                                                                                                                   2022           2          23
Afghanistan                                                                                                                                                   2022           3          33
Afghanistan                                                                                                                                                   2022           4          32
Afghanistan                                                                                                                                                   2022           5          30
Afghanistan                                                                                                                                                   2022           6          29
Afghanistan                                                                                                                                                   2022           7          38
Afghanistan                                                                                                                                                   2022           8          29
Afghanistan                                                                                                                                                   2022           9          23
Afghanistan                                                                                                                                                   2022          10          41
Afghanistan                                                                                                                                                   2022          11          35
Afghanistan                                                                                                                                                   2022          12          21
Albania                                                                                                                                                       2022           1           1
Albania                                                                                                                                                       2022           2           1
Albania                                                                                                                                                       2022           3           2
Albania                                                                                                                                                       2022           5           1
Albania                                                                                                                                                       2022           6           1
Albania                                                                                                                                                       2022           8           1
Albania                                                                                                                                                       2022          10           3
Albania                                                                                                                                                       2022          11           2
Algeria                                                                                                                                                       2022           1          30
Algeria                                                                                                                                                       2022           2          33
Algeria                                                                                                                                                       2022           3          42
Algeria                                                                                                                                                       2022           4          39
Algeria                                                                                                                                                       2022           5          31
Algeria                                                                                                                                                       2022           6          44
Algeria                                                                                                                                                       2022           7          31
Algeria                                                                                                                                                       2022           8          44
Algeria                                                                                                                                                       2022           9          39
Algeria                                                                                                                                                       2022          10          37
Algeria                                                                                                                                                       2022          11          43
Algeria                                                                                                                                                       2022          12          35
American Samoa                                                                                                                                                2022           1           4
American Samoa                                                                                                                                                2022           2           3
American Samoa                                                                                                                                                2022           3           4
American Samoa                                                                                                                                                2022           4           5
American Samoa                                                                                                                                                2022           5           8
American Samoa                                                                                                                                                2022           6           1
American Samoa                                                                                                                                                2022           7           5
American Samoa                                                                                                                                                2022           8           3
American Samoa                                                                                                                                                2022           9           4
American Samoa                                                                                                                                                2022          10           1
American Samoa                                                                                                                                                2022          11           5
American Samoa                                                                                                                                                2022          12           2
Andorra                                                                                                                                                       2022           1           1
Andorra                                                                                                                                                       2022           3           1
Andorra                                                                                                                                                       2022           7           1
Andorra                                                                                                                                                       2022           8           1
Andorra                                                                                                                                                       2022          11           3
Angola                                                                                                                                                        2022           1          47
Angola                                                                                                                                                        2022           2          32
Angola                                                                                                                                                        2022           3          38
Angola                                                                                                                                                        2022           4          37
Angola                                                                                                                                                        2022           5          45
Angola                                                                                                                                                        2022           6          39
Angola                                                                                                                                                        2022           7          33
Angola                                                                                                                                                        2022           8          33
Angola                                                                                                                                                        2022           9          45
Angola                                                                                                                                                        2022          10          37
Angola                                                                                                                                                        2022          11          31
Angola                                                                                                                                                        2022          12          28
Anguilla                                                                                                                                                      2022           1           1
Anguilla                                                                                                                                                      2022           4           5
Anguilla                                                                                                                                                      2022           5           2
